Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,11,11/1/26,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,1,1/1/26,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,12,12/1/26,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Documentary Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,7,7/1/26,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,5,5/1/26,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,8,8/1/26,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,4,4/1/26,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Telenovela Silver,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2026,9,9/1/26,BR,LATAM,New,Telenovela,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Telenovela,0,0,0,0,,Scripted Series,35,1,35
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,6,6/1/27,BR,LATAM,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,7,7/1/27,BR,LATAM,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,5,5/1/27,BR,LATAM,Returning,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Comedy Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,8,8/1/27,BR,LATAM,New,Scripted Series - Live Action Comedy,Gold,N,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,4,4/1/27,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,9,9/1/27,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,3,3/1/27,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,10,10/1/27,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,2,2/1/27,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,11,11/1/27,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,1,1/1/27,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,12,12/1/27,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Documentary Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,7,7/1/27,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,5,5/1/27,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,8,8/1/27,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,4,4/1/27,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Telenovela Silver,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2027,9,9/1/27,BR,LATAM,New,Telenovela,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Telenovela,0,0,0,0,,Scripted Series,35,1,35
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,6,6/1/28,BR,LATAM,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,7,7/1/28,BR,LATAM,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,5,5/1/28,BR,LATAM,Returning,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Comedy Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,8,8/1/28,BR,LATAM,New,Scripted Series - Live Action Comedy,Gold,N,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,4,4/1/28,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,9,9/1/28,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,3,3/1/28,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,10,10/1/28,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,2,2/1/28,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,11,11/1/28,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,1,1/1/28,BR,LATAM,New,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Unscripted Series - Format / Competition Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,12,12/1/28,BR,LATAM,Returning,Unscripted Series - Format / Competition,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Placeholder Documentary Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,7,7/1/28,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,5,5/1/28,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,8,8/1/28,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Documentary Gold,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,4,4/1/28,BR,LATAM,New,Documentary,Gold,N,Gold,Unscripted,Unscripted | Gold,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.2,1.2
Placeholder Telenovela Silver,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBOMAX,Exclusive,2028,9,9/1/28,BR,LATAM,New,Telenovela,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Telenovela,0,0,0,0,,Scripted Series,35,1,35
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2025,5,5/1/25,ES,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2025,4,4/1/25,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,3,3/1/26,ES,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,5,5/1/26,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,8,8/1/26,ES,EMEA,Returning,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,8,8/1/27,ES,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,3,3/1/27,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,9,9/1/27,ES,EMEA,Returning,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Comedy Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,1,1/1/27,ES,EMEA,Returning,Scripted Series - Live Action Comedy,Gold,N,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,5,5/1/27,ES,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,1,1/1/28,ES,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,3,3/1/28,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,5,5/1/28,ES,EMEA,Returning,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Comedy Gold,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,7,7/1/28,ES,EMEA,Returning,Scripted Series - Live Action Comedy,Gold,N,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,9,9/1/28,ES,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2024,9,9/1/24,FR,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2025,2,2/1/25,FR,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,12,12/1/26,FR,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,6,6/1/27,FR,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,3,3/1/28,FR,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2024,8,8/1/24,ES,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2025,8,8/1/25,ES,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2025,5,5/1/25,ES,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,6,6/1/26,ES,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,9,9/1/26,ES,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,10,10/1/26,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,12,12/1/26,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Comedy Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,4,4/1/26,ES,EMEA,New,Scripted Series - Live Action Comedy,Gold,N,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,2,2/1/27,ES,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,4,4/1/27,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,2,2/1/28,ES,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,4,4/1/28,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Gold,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2028,6,6/1/28,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,1,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2024,10,10/1/24,FR,EMEA,New,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted - Movie - Drama / Romance Platinum,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2024,11,11/1/24,FR,EMEA,New,Scripted - Movie - Drama / Romance,Platinum,N,Platinum,Drama,Drama | Platinum,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2.2,2.2
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Exclude,HBO MAX,Exclusive,2025,10,10/1/25,FR,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2026,8,8/1/26,FR,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Placeholder Scripted Series - Live Action Drama Platinum,2,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,HBO MAX,Exclusive,2027,12,12/1/27,FR,EMEA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
